curriculum_rank,episode_id,stage,stage_position,cluster,difficulty,difficulty_z,coreset_rank,is_cluster_medoid,duration,path_length,net_displacement,tortuosity,log_tortuosity,mean_speed,max_speed,rms_acceleration,rms_jerk,normalized_jerk,log_normalized_jerk,reversal_rate,workspace_span,source,task_name,embodiment,arm_used,missing_frame_ratio
209,mecka__flagship__6919990b1830780f59ca1fee,10,23,3,0.7132352941176471,0.5899989170009258,63,False,3757.0,51.25042692335936,0.27167668988236915,188.64491813982946,5.245153471782372,0.40934845785430796,3.0466850241975147,9.192328724309967,394.31015427630933,15105212.222833429,16.530550488746538,0.07989347536617843,1.914685409910689,mecka,debug,human_bimanual,right,0.0
210,aria__2025-09-24-03-12-23-000000,10,24,3,0.7242647058823529,0.602262616688953,162,False,1920.0,41.9077057638475,0.3626008220002919,115.57531925234787,4.758537581291088,0.6551491260632751,19.007118749159243,52.42891783631651,2765.452946599356,17285134.031019498,16.66535744334203,0.29874869655891556,1.014404755112156,aria,fold_clothes,human_bimanual,right,0.0
211,aria__2025-09-23-22-47-12-000000,10,25,3,0.7279411764705882,0.6122935862660072,119,False,2371.0,36.68470420952162,0.3226240193279266,113.70729397625529,4.742383613885514,0.46436334442432425,13.48769991147953,38.56340744607705,2062.033012835986,27731065.85044809,17.13806388964123,0.29590544533558466,0.7964276847923375,aria,fold_clothes,human_bimanual,right,0.0
212,aria__2025-09-24-04-07-27-000000,10,26,3,0.7316176470588235,0.6188050398325696,59,False,1624.0,38.72426891408415,0.3556688135191063,108.8773247531412,4.699364513944342,0.7157905529405573,14.150102192899158,57.57023659850406,3016.840799124668,12347014.862719458,16.328924961291865,0.35758323057953145,0.9407223270733184,aria,fold_clothes,human_bimanual,right,0.0
213,aria__2025-09-23-21-10-33-000000,10,27,3,0.7352941176470589,0.6226570394709605,164,False,2340.0,35.225531356627805,0.38866108508079283,90.63302890050159,4.517791784204028,0.4518024543389629,18.984367018443248,43.5445830073943,2258.9549822643703,30412719.66638307,17.230371521826733,0.31394354148845166,1.0937541846812142,aria,fold_clothes,human_bimanual,right,0.0
214,aria__2025-09-21-20-50-33-000000,10,28,3,0.7389705882352942,0.624909624588849,129,False,2730.0,41.862302805285594,0.75932665661141,55.130822078736635,4.0276850748247055,0.46019387473747436,26.430949238444132,45.27375582127727,2425.9437284567834,43645857.51031881,17.591618956259854,0.35447214076246336,1.187612697997657,aria,fold_clothes,human_bimanual,right,0.0
215,aria__2025-09-22-21-00-06-000000,10,29,3,0.7463235294117647,0.634086998595918,161,False,2689.0,55.92749623261362,0.7374960096585077,75.83430350831382,4.341651200695127,0.6241908061675627,23.26839780935587,78.15434560983772,4115.774123918171,52965417.59623391,17.785149779242786,0.2571641235578712,1.2392614149393257,aria,fold_clothes,human_bimanual,right,0.0
216,aria__2025-09-20-20-55-13-000000,10,30,3,0.75,0.6620873353504481,166,False,2329.0,47.79306667507595,0.578689399400269,82.58846062258408,4.42590547973319,0.6158900344726281,23.157705106622156,43.74850375060865,2373.108488480231,23217609.738776345,16.960421632246266,0.32617103566824235,1.2913773224704317,aria,fold_clothes,human_bimanual,right,0.0
217,aria__2025-09-23-21-14-51-000000,10,31,3,0.7573529411764706,0.6979103833261452,114,False,1946.0,31.521823377783374,0.24243937560790244,130.01940505227032,4.875345442400963,0.48619778988868956,13.695509490282342,44.314630526093005,2365.631189330846,20467529.835948914,16.834350326812718,0.3395061728395062,0.9025664563318927,aria,fold_clothes,human_bimanual,right,0.0
218,aria__2025-09-20-17-47-54-000000,10,32,3,0.7610294117647058,0.7095575811035099,120,False,2815.0,58.422817972707755,0.444450062724774,131.44967876601723,4.886202790392504,0.6228445412868631,19.1198378067674,43.67822621260424,2333.1944867889542,32976786.503585633,17.31131446294033,0.22147173835762532,1.1619199665567412,aria,fold_clothes,human_bimanual,right,0.0
219,aria__2025-09-23-21-38-55-000000,10,33,3,0.7647058823529411,0.7147948310353612,143,False,2981.0,40.17198661137943,0.3985090727711468,100.80570144120443,4.623066108846796,0.4044159725977795,15.940019584576893,35.964142955108315,1909.3823389444863,46609357.3095233,17.657311901026592,0.3115139308492783,0.8218478965646785,aria,fold_clothes,human_bimanual,right,0.0
220,aria__2025-09-24-04-43-51-000000,10,34,3,0.7683823529411765,0.7229062524502297,154,False,1756.0,45.76247087829396,0.20891058661442466,219.05290497678493,5.3938679946095665,0.7822644594580164,18.99728630248115,57.671526026822924,3030.1308376545044,13267539.477675246,16.400831044568942,0.2434435575826682,1.085990984672723,aria,fold_clothes,human_bimanual,right,0.0
221,aria__2025-09-24-04-14-10-000000,10,35,3,0.7720588235294118,0.7313886569337189,180,False,2250.0,49.13322878940265,0.37246174041727126,131.9148343514649,4.8897085798924005,0.6554010065282702,16.240099355990722,46.653399582643566,2463.464512157678,21138057.40347743,16.866585689508984,0.2944839857651246,1.092831211994768,aria,fold_clothes,human_bimanual,right,0.0
222,aria__2025-09-23-21-58-00-000000,10,36,3,0.7757352941176471,0.7325935614838337,20,False,2272.0,46.738001817887195,0.4822228180661855,96.92200382660525,4.584171282470128,0.6174108562468587,16.35539644576042,52.832352563459615,2810.5123000612825,26102953.549771972,17.077559067026844,0.35066079295154184,0.9971714066241752,aria,fold_clothes,human_bimanual,right,0.0
223,aria__2025-09-24-04-50-31-000000,10,37,3,0.7794117647058824,0.7389156654381392,170,False,2230.0,53.10012605144079,0.49402654720932326,107.48435757429411,4.686605992764872,0.7146719522401184,17.954882294936958,57.11427793769293,3024.124183214201,23375589.451940674,16.96720289279607,0.3240574506283663,1.0704237163245889,aria,fold_clothes,human_bimanual,right,0.0
224,aria__2025-09-23-19-32-44-000000,10,38,3,0.7830882352941176,0.7449751727383316,134,False,2277.0,40.64581664083468,0.3798428455439097,107.00692962278275,4.682195388239766,0.5357532949143411,23.04046039996843,59.349405707891265,3089.1604313176563,33209600.580412187,17.318349596304518,0.31648351648351647,1.1966665861843506,aria,fold_clothes,human_bimanual,right,0.0
225,aria__2025-09-21-20-44-10-000000,10,39,3,0.7904411764705882,0.7642423780843312,28,False,3255.0,46.10718742724595,0.7765288557506372,59.37601299139889,4.10059189015743,0.4250816296304174,19.805416221926126,41.429314087030484,2231.852606048338,61799628.694072194,17.939407930404663,0.37134952351675377,1.1153204584850875,aria,fold_clothes,human_bimanual,right,0.0
