scope,n_clips_in_scope,target,sort_key,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,94,tortuosity only,9.0,9.0,1.0,1.0,0.08823529411764708,0.08823529411764708,0.05514705882352941,0.0,0.25,0.125,0.125,0.125,0.4282290697231066,0.9044303929988131,0.4,0.6,9.0,2.0,0.75,1.3444453713975735,1.0
garments,131,94,random order,9.0,9.0,-0.6666666666666667,0.5,0.15441176470588236,0.3125,0.1498161764705882,1.0,0.375,0.125,0.375,0.375,0.5742829743154565,1.0,0.2,0.2,1.0,1.0,0.375,1.3444453713975735,1.0
garments,131,76,composite difficulty,3.0,3.0,1.0,1.0,0.6948529411764706,0.6948529411764706,0.39705882352941174,1.0,0.5,0.5,0.0,0.5,0.8257253914071446,0.9229122976357239,0.4,0.4,3.0,2.0,0.0,1.8879380470475453,1.0
garments,131,76,duration only,3.0,3.0,0.5,0.5,0.7941176470588235,0.7941176470588235,0.4466911764705882,1.0,0.5,0.5,0.0,0.5,0.859037386001478,0.9895362868243908,0.4,0.4,2.0,2.0,0.0,1.8879380470475453,1.0
garments,131,76,path_length only,3.0,3.0,1.0,1.0,0.6948529411764706,0.6948529411764706,0.39705882352941174,1.0,0.5,0.5,0.0,0.5,0.8257253914071446,0.9229122976357239,0.4,0.4,3.0,2.0,0.0,1.8879380470475453,1.0
garments,131,76,tortuosity only,3.0,3.0,1.0,1.0,0.6948529411764706,0.6948529411764706,0.39705882352941174,1.0,0.5,0.5,0.0,0.5,0.8257253914071446,0.9229122976357239,0.4,0.4,3.0,2.0,0.0,1.8879380470475453,1.0
garments,131,76,random order,3.0,3.0,-1.0,0.0,-0.09926470588235292,0.6948529411764706,0.39705882352941174,0.0,0.5,0.5,0.0,0.5,0.8257253914071446,0.9229122976357239,0.2,0.2,1.0,1.0,0.0,1.8879380470475453,1.0
garments,131,103,composite difficulty,6.0,6.0,1.0,1.0,0.10294117647058826,0.10294117647058826,0.05808823529411765,0.0,0.4,0.2,0.2,0.2,0.5259564109143591,0.9044303929988131,0.4,0.6,6.0,2.0,0.6,1.5551632945341163,1.0
garments,131,103,duration only,6.0,6.0,0.942857142857143,0.8,0.125,0.125,0.08308823529411766,0.0,0.4,0.2,0.2,0.2,0.5393308499262356,0.9172026522369672,0.4,0.6,6.0,2.0,0.4,1.5551632945341163,1.0
garments,131,103,path_length only,6.0,6.0,0.2571428571428572,0.6,0.22794117647058826,0.2720588235294118,0.16250000000000003,1.0,0.4,0.2,0.4,0.4,0.6098604851773723,1.0,0.4,0.4,5.0,2.0,0.2,1.5551632945341163,1.0
