scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,3,Random order (same clips),6.0,6.0,-0.1542857142857143,0.42000000000000004,0.5988970588235294,0.8117647058823529,0.3527205882352941,1.4,0.34,0.34,0.0,0.34,0.801305683253083,0.9732502812798922,,,,,0.2800000000000001,0.2800000000000001,3.0,1.4,0.0,1.7373398281849064,1.0
garments,131,3,Random subset (same size),6.0,6.0,0.17714285714285716,0.52,0.6724264705882353,0.7279411764705882,0.3870588235294118,2.0,0.62,0.56,0.4,0.62,0.8846279174963758,0.9835989072625159,,,,,0.34,0.4,3.3,1.7,0.02,1.8959046276749274,1.0
garments,131,3,Difficulty-sorted (same clips),6.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1970588235294118,1.0,0.2,0.2,0.0,0.2,0.711680336063201,0.906981954664931,,,,,0.4,0.4,6.0,2.0,0.0,1.7373398281849062,1.0
garments,131,3,Coreset prefix (same size),6.0,6.0,-0.3714285714285715,0.4,0.8676470588235294,0.8970588235294118,0.7198529411764706,2.0,1.0,1.0,0.2,1.0,0.9736251154134397,1.0,,,,,1.0,0.8,6.0,5.0,0.0,2.1103389116523013,1.0
garments,131,66,Curriculum path,2.0,2.0,0.9999999999999999,1.0,0.6948529411764706,0.6948529411764706,0.6948529411764706,1.0,1.0,1.0,0.0,1.0,0.9229122976357239,0.9229122976357239,,,,,0.4,0.4,2.0,2.0,0.0,1.9792613839259732,1.0
garments,131,66,Random order (same clips),2.0,2.0,0.19999999999999998,0.6,0.13897058823529412,0.6948529411764707,0.6948529411764707,0.6,1.0,1.0,0.0,1.0,0.9229122976357239,0.9229122976357239,,,,,0.32,0.32,1.6,1.6,0.0,1.9792613839259734,1.0
garments,131,66,Random subset (same size),2.0,2.0,0.5999999999999999,0.8,0.20514705882352943,0.23308823529411765,0.23308823529411765,0.5,0.4,0.4,0.4,0.4,0.852570562683657,0.852570562683657,,,,,0.2800000000000001,0.2800000000000001,1.7,1.4,0.0,1.8284077437419153,1.0
garments,131,66,Difficulty-sorted (same clips),2.0,2.0,0.9999999999999999,1.0,0.6948529411764706,0.6948529411764706,0.6948529411764706,1.0,1.0,1.0,0.0,1.0,0.9229122976357239,0.9229122976357239,,,,,0.4,0.4,2.0,2.0,0.0,1.9792613839259732,1.0
garments,131,66,Coreset prefix (same size),2.0,2.0,-0.9999999999999999,0.0,-0.14338235294117646,0.14338235294117646,0.14338235294117646,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.4,0.4,2.0,2.0,0.0,2.39424899419464,1.0
garments,131,2,Curriculum path,7.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.18235294117647058,1.0,0.2,0.2,0.0,0.2,0.6874381226057785,0.906981954664931,0.7207499701564473,0.8333333333333334,0.5,0.5,0.4,0.4,7.0,2.0,0.0,1.7051083920242585,0.8571428571428571
