scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,107,Coreset prefix (same size),6.0,6.0,-0.3714285714285715,0.4,0.8676470588235294,0.8970588235294118,0.7198529411764706,2.0,1.0,1.0,0.2,1.0,0.9736251154134397,1.0,,,,,1.0,0.8,6.0,5.0,0.0,2.1103389116523013,1.0
garments,131,88,Curriculum path,2.0,2.0,0.9999999999999999,1.0,0.3713235294117647,0.3713235294117647,0.3713235294117647,1.0,1.0,1.0,0.0,0.0,0.9254810023910004,0.9254810023910004,,,,,0.4,0.4,2.0,2.0,0.0,1.9847701826946647,1.0
garments,131,88,Random order (same clips),2.0,2.0,0.19999999999999998,0.6,0.07426470588235294,0.37132352941176466,0.37132352941176466,0.6,1.0,1.0,0.0,0.0,0.9254810023910004,0.9254810023910004,,,,,0.32,0.32,1.6,1.6,0.0,1.9847701826946647,1.0
garments,131,88,Random subset (same size),2.0,2.0,0.19999999999999998,0.6,0.07132352941176472,0.26544117647058824,0.26544117647058824,0.5,1.0,0.6,0.4,1.0,0.8675270347700152,0.8675270347700152,,,,,0.26,0.34,1.7,1.3,0.0,1.8604831291454151,1.0
garments,131,88,Difficulty-sorted (same clips),2.0,2.0,0.9999999999999999,1.0,0.3713235294117647,0.3713235294117647,0.3713235294117647,1.0,1.0,1.0,0.0,0.0,0.9254810023910004,0.9254810023910004,,,,,0.4,0.4,2.0,2.0,0.0,1.9847701826946647,1.0
garments,131,88,Coreset prefix (same size),2.0,2.0,-0.9999999999999999,0.0,-0.14338235294117646,0.14338235294117646,0.14338235294117646,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.4,0.4,2.0,2.0,0.0,2.39424899419464,1.0
garments,131,25,Curriculum path,7.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1948529411764706,1.0,0.2,0.2,0.0,0.2,0.7009108008425745,0.906981954664931,0.7207499701564473,0.8333333333333334,0.5,0.5,0.4,0.4,7.0,2.0,0.0,1.725861119497725,0.8571428571428571
garments,131,25,Random order (same clips),6.0,6.0,-0.1542857142857143,0.42000000000000004,0.5966911764705881,0.8095588235294118,0.3496323529411765,1.4,0.34,0.34,0.0,0.34,0.7938585340947788,0.9742870218233272,,,,,0.2800000000000001,0.2800000000000001,3.0,1.4,0.0,1.725861119497725,1.0
garments,131,25,Random subset (same size),6.0,6.0,0.20571428571428568,0.5,0.6786764705882353,0.7257352941176471,0.3838235294117647,2.0,0.62,0.56,0.4,0.62,0.8793497960097255,0.9827885091705255,,,,,0.34,0.4,3.3,1.7,0.02,1.8732677755029308,1.0
garments,131,25,Difficulty-sorted (same clips),6.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1948529411764706,1.0,0.2,0.2,0.0,0.2,0.7009108008425745,0.906981954664931,,,,,0.4,0.4,6.0,2.0,0.0,1.725861119497725,1.0
garments,131,25,Coreset prefix (same size),6.0,6.0,-0.3714285714285715,0.4,0.8676470588235294,0.8970588235294118,0.7198529411764706,2.0,1.0,1.0,0.2,1.0,0.9736251154134397,1.0,,,,,1.0,0.8,6.0,5.0,0.0,2.1103389116523013,1.0
garments,131,3,Curriculum path,7.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1970588235294118,1.0,0.2,0.2,0.0,0.2,0.711680336063201,0.906981954664931,0.7207499701564473,0.8333333333333334,0.5,0.5,0.4,0.4,7.0,2.0,0.0,1.7373398281849062,0.8571428571428571
